name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
American Pygmy Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,North-America,,Kid,Herd,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,,,Pygmy goat,,United States,,,GreyBlackWhiteCaramel,Fur,,8-12 years,30-90 lbs,18-33 inches,2-4 months,8 weeks,01-Apr,"dogs, coyotes, bobcats",Mammal,15-20 inches,,,,,,,,,,,,,,,,,,,Greens and grains,,,,,,,,,,
American Robin,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,Central-America,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7,North America,,,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,,,03-May,"birds of prey, snakes, and cats",bird,,,,,Europe,North-America,,12-16in,12-14 days,,,,,,,,,tree forks and dense shrubs,,,,,1,,,,,,,
American Staffordshire Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,North-America,,,,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,BrownBlackWhiteTan,Hair,,,,,,,,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,,,,,,,,,,,,,,,,
American Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,North-America,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,,2-14 days,"Semi-permanent pool or pond, dense vegetation patches",Omnivore,,,American Toad,3,"Semi-permanent pool or pond, dense vegetation patches",,,BrownGreyOliveLight-Brown,Permeable,,"Talking about lifespan, they can live more than 10 years if taken care of, usually do not survive more than a year or two in the wild",Less than 1 lbs,50 to 100 mm,2 to 3 years,,"4,000-8,000 eggs",Snakes (Eastern hognose snakes),Frog (Amphibian),50 to 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Water Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,North-America,,,,,,,,,,Omnivore,5,,American Water Spaniel,,,Friendly and intelligent!,Gun Dog,BrownBlackDark Brown,Hair,,,,,,,,,,,,"Intelligent, quiet and calm","Should be trained from an early age using short, ongoing sessions as assertive training methods tend to be ineffective",,,,,,,,,,,,,,,,,,,,,,,,,,
Amur Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,Asia,"Deer, Cattle, hares, small mammals",,,103 as of 2018,Poaching and habitat loss,,,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,,Hair,,10 - 15 years in wild; up to 20 in captivity,25kg - 48kg (55lbs - 106lbs),90 cm - 180 cm (3ft - 6ft) excluding tail,,,,Human poaching and competition with Siberian tigers,,,,,,Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,
Anaconda,Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,"E. murinus, E. notaeus, E. deschauenseei, E. Beniensis",South-America,"Rodents, medium sized mammals, fish, amphibians, reptiles",Hatchlings,,Unknown,"Poaching, habitat loss",Their tremendous weight and length,"Giant anaconda, common anaconda, common water boa, sucuri",6 months,"Swamps, river, heavy forest",Carnivore,,Nocturnal,Anaconda,4,South America,,,Olive-Grey,Scales,10 mph,,,,,,20-40,,Reptile,,,,,,,,,,,,,,,Saltwater,,,,,,,,,,,,,,,
Anatolian Shepherd Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,9,,Anatolian Shepherd Dog,,,Guards it's master's flocks!,Guard,BrownFawnRedBlueWhiteBrindleCream,Hair,,11-13 years,80-150 pounds,,,,5-10 pups,,,27-29 inches,,"Courageous, powerful, protective, calm and devoted.",Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchovies,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,,Ocean,Recently hatched fish and planktons,,School,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,,,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,,,,144,,,,Green,Scales,,4 years,A few ounces,"5 to 6 inches, 10 inches at the maximum",,,,"Humans, halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Fish,,,,,,,,,,,,,,,Brackish,,,,,Recently hatched fish and planktons,,,,,,,,,,
Angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,Ocean,,,Social,Unknown,Water pollution,Brightly colored scales,,1-3 days,Coral reefs,Omnivore,,,Angelfish,90,,There are 70 different species!,,YellowBlueBlackWhiteGreen,Scales,,Up to 15 years,Up to 2 pounds,8 to 12 inches,,,,"Larger fish, barracudas, sharks",Perciformes,,,,,,,,,,,,,,"Sponges, algae",Salt,,,,,Fish,,,,6.5 - 7.2,,,,,,
Anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,,,,Ocean,Crustaceans and fish,,Solitary,Unknown,,The lure,Seadevils,Up to a few weeks,,Omnivore,,,,,,,,BrownGreyYellowBlackGreen,Skin,,Up to 25 years,Up to 110lbs,Up to 1.2m (4ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angora Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,Europe,"Mice, rats, gophers, birds, small mammals, small birds, small reptiles, small amphibians.",Pups,Solitary,Unknown,Other household pets,"Long thin body, small nose, long and shiny fur.",Ferret,42 days,"Forests, grasslands.",Carnivore,,,Angora ferret,1,,,,BrownBlackWhiteSandy,Fur,15 mph,5-9 years,1.5 – 4.5 lbs.,18 – 21 inches,4 – 8 months,7+ weeks,8,"Wolves, dogs.",Mammal,,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Angora Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Africa,,Kid,Herd,,Coyotes,Angora goats produce mohair fiber.,Angoras,150 days,Farms,Herbivore,,,Angora goats,1,Worldwide,,Flock,RedBlackWhite,Hair,,10 years,82kg-100kg (180lbs-220lbs),127cm(50in),6-7 months,4-6 months,1,Coyotes,Mammals,91cm-122cm(38in-48in),,,,Asia,Eurasia,Europe,,,,,,,,,,,,,,,North-America,,,Oceania,South-America,,,,
Anole Lizard,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,,Central-America,Insects,hatchlings,,,Other reptiles,"On most species, the brightly colored dewlap on the neck of the males","American green anole, Carolina green anole, American anole, Carolina anole, North American green anole, red-throated anole, American Chameleon",,,Omnivore,,,Anole Lizard,,The Americas,,Territorial,BrownRedWhiteTanGreen,Scales,,2 - 7 years,,4 - 20 in.,18 months,,1 - 2 eggs,"Snakes , other Reptiles , Birds",Reptile,0.5 in. - 2 in.,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,Formicidae,Africa,,,,,,,,,Soil and cavities in wood and plants,Omnivore,"1,000",,Ant,12000,Worldwide,First evolved 100 million years ago!,,BrownRedBlack,Shell,,,,2mm - 25mm (0.08in - 1in),,,,"Insects, Echidna, Anteater",,,,,,Asia,Central-America,Eurasia,,,,,,,"Leaves, Fungi, Insects",,,,,,Leaves,,Europe,,,North-America,Oceania,South-America,,,
Antarctic scale worm,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eulagisca,Eulagisca gigantea,Ocean,"pantopoda sea spiders, fish and other marine life",,Solitary,,predators,overlapping scales and golden bristles,"bristle worms, gold scale worms or polychaetes",,"Antarctica and the Southern Ocean at a depth of 1,706 to 2,198 feet (520 to 670 meters)",Carnivore,,,Antarctic scale worm,1,"Antarctica, the Southern Ocean",,,YellowGoldGrey-Brown,Bristled hairs,,,unknown,20cm,unknown,,,Cock shrimp,Annelid,10cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anteater,Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla,Central-America,,,,,,,,,Forest and grasslands,Omnivore,1,Solitary,,,,Found throughout the Southern Hemisphere!,,BrownGreyBlackTan,Fur,18 mph,9 - 20 years,18kg - 40kg (40lbs - 88lbs),0.9m - 2.1m (3ft - 7ft),,,,"Puma, Snakes, Jaguar",Mammal,,Elongated snout and long sticky tongue,,,South-America,,,,,,,,,"Ants, Termites, Insects",,,,,,Ants,,,,,,,,,,
Antelope,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,,,Africa,,,,,,,,,Forest and grasslands,Herbivore,1,Herd,,,,Renew their horns every year!,,BrownRedTan,Fur,43 mph,10 - 25 years,"500kg - 900kg (1,100lbs - 2,000lbs)",,,,,,Mammal,1m - 1.5m (3 - 5ft),Long legs and curved antlers,,,Asia,Eurasia,North-America,,,,,,,"Grass, Shoots, Seeds",,,,,,Grass,,,,,,,,,,
Ape,Animalia,Chordata,Mammalia,Primates,Hominidae,,Hominoidea,Africa,Varies,"Infant, baby",Community-minded,Various,Humans,Varies,Varies,Eight months,"Mountains, rainforests, forests",Herbivore,,,,26,Africa and Asia,,Tribe,BrownRedBlueBlackGreen,,,50 years; longer for humans,Varies,Varies,,,One,"Crocodiles, Eagles, big cats",,Varies,,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,6,,Appenzeller Dog,,,Herding dog by nature!,Sennenhund,BlackWhiteTan,Hair,,12 – 14 years,,,,,,,,,,Energetic and alert,Should be trained from an early age and respond best to firm and consistent training,,,,,,,,,,,,,,,,,Switzerland,,,,,,,,,
Apple Head Chihuahua,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Central-America,,,,,,,,,,Omnivore,,,,,,,,FawnRedBlueBlackGoldTanCreamSilverChocolate,Hair,,14 to 16 years,6 lbs,,,,,,,,,"Sassy, courageous and loyal",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arafura File Snake,Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus arafurae,Asia,Fish,,,,,,,,,Omnivore,10 to 27,,Elephant trunk snake,,,,,,,,10 years,,Fish,,,,,,,Gray with black splotches,,,Oceania,,,,,,,No,Low,,,,,,,,,,,,,,,,,
Arapaima,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,,South-America,"fish, insects, seeds",,Solitary,,"Overfishing, habitat destruction",,Pirarucu,,,Omnivore,,,Arapaima,4,,,,RedBlackGreenLight-Brown,Scales,,20 years,200kg-220kg (440lbs - 485lbs),10ft-15ft (3m-4.5m),,,,"humans, caimans",Bonytongue,,Red tail,,,,,,,,,,,,,Fresh,,,,,,,,,6.0 - 6.5,,,,,,
Arctic Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus,Eurasia,,kit,,,,,,,Polar forest regions,Carnivore,5,Solitary,,,,Extremely thick winter fur!,,GreyBlackWhite,Fur,30 mph,7 - 10 years,1.4kg - 9.4kg (3lbs - 21lbs),70cm - 110cm (28in - 43in),,,,"Snowy Owl, Wolf, Polar Bear",Mammal,,Thick fur that changes colour with season,,,Europe,North-America,,,,,,,,"Lemmings, voles, hares, other small rodents, berries, insects",,,,,,Lemmings,,,,,,,,,,
Arctic Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus Arcticus,North-America,,,,,,,,,Tundra and rocky areas,Herbivore,6,Herd,,,,Eats berries found in the snow!,,GreyWhite,Fur,40 mph,3 - 8 years,4kg - 5kg (9lbs - 12lbs),48cm - 67cm (19in - 26in),,,,,Mammal,,Thick fur that changes colour with seasons,,,,,,,,,,,,"Grass, Willow, Flowers",,,,,,Grass,,,,,,,,,,
Arctic Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canus Lupus Arcticus,North-America,,,,,,,,,Grass plains and tundra forests,Carnivore,4,Pack,,,,Incredibly versatile and adaptive!,,GreyWhite,Fur,46 mph,7 - 10 years,25kg - 40kg (55lbs - 88lbs),60cm - 91cm (24in - 36in),,,,Human,Mammal,,,,,,,,,,,,,,"Deer, Elk, Moose",,,,,,Deer,,,,,,,,,,
Arizona Bark Scorpion,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruriodes,Centruroides sculpturatus,Central-America,"insects, spiders, centipedes and other scorpions",scorplings,Colonial Nesting,,natural predators and pesticides,"2 pedipalps like ""crab claws""",,9 months,deserts,Carnivore,,,Arizona Bark Scorpion,1,"California, Arizona, New Mexico and Mexico",,,Light-Brown,Exoskeleton,,5-7 years,2 ounces,7-8 centimeteres,1 year,1 to 3 weeks (leaves mother's back),up to 30,,Anthropod,less than 0.25 inches,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Black Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. cerberus,North-America,"Lizards, amphibians, small mammals, and occasionally birds.",Neonate,Semi-socialCommunity-minded,,,,"Arizona black rattlesnake, black rattlesnake, black diamond rattlesnake, brown rattlesnake, Cerberus rattlesnake, mountain diamond-back; often called a timber rattlesnake.",,"Forests, leaf litter",Carnivore,,DiurnalSolitarySociableor Nocturnal Depending on Region and Season,,,,,,BrownGreyYellowFawnRedOlive-GreyGrey-Brown,Scales,,15-20 years,,2-4 feet,,,04-Oct,"Hawks, other snakes, coyotes, and other predators.",,,,Docile,,,,,,,,,Yes,Low,,,,,,,Small mammals,,,,,,,,,,
Armadillo,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypodidae,Central-America,,,,,,,,,Forest and grasslands,Omnivore,4,Solitary,,,United States,"Can curl into a hard, protective ball!",,GreyBlackPink,Boney Plates,30 mph,4 - 12 years,4kg - 30kg (9lbs - 66lbs),36cm - 75cm (14in - 30in),,,,"Bear, Wolf, Coyote",Mammal,,Armoured plated skin and can curl into a ball,,,North-America,South-America,,,,,,,,"Insects, Ants, Termites",,,,,,Insects,,,,,,,,,,
Armadillo Lizard,Animalia,Chordata,Reptilia,Squamata,Cordylidae,Ouroborus,Ouroborus cataphractus,Africa,Mainly desert insects,Baby,Group,Unknown,Black market poaching,"Scaled, spiky shell","Armadillo girdled lizard, Golden-armadillo lizard, dragon armadillo lizard",Two months,South African deserts,Carnivore,,,Armadillo lizard,,Desert,,Squamata,YellowBlackDark BrownLight-Brown,Scales,-1 mph,"In captivity, 25 years",2.5–3.5 oz,Up to 3.75 inches,3 to 4 years,,01-Feb,Birds of prey,Reptile,,,,,,,,,,,,,,,,,,,,"Desert insects, scorpions, plants",,,,,,,,,,
Armyworm,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,Africa,,larva,Solitary,,pest control,Five stripes of various colors running the length of the body,"true armyworm moth, white-speck moth, common armyworm or rice armyworm",3.5 to 6.5 days (egg to larva),Agricultural crops and weedy grasses,Herbivore,,,armyworm,30,"Americas, southern Europe, central Africa, and western Asia",,solitary,Olive-GreyGrey-Brown,Hair,62 mph,36-95 days,0.026 to 0.18 grams,"0.063in to 1.5in larvae, 1.5in wingspan as adult",30-50 days,,500 to 1500 eggs per adult female,"humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases",Insect,,,,,Asia,Central-America,Europe,1.5 inches,,,,,,,,,,,,,,North-America,,,South-America,,,,,
Aruba Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. unicolor,South-America,"small rodents, birds, and lizards",Neonates,,Unknown,Human encroachment,,,About four months,"Dry, rocky areas on the island",Carnivore,,Nocturnal/Crepuscular,,,Aruba,,,BrownGreyFawn,Scales,,,,2-3 feet,,,May-15,Birds of prey,,,,Mild-mannered,,,,,,,,,Yes,Low,,,,,,,,,,,,,,,,,
Asian Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Ectobiddae,Blattella,Blattella asahinai,Asia,Decaying plant and animal matter,Nymph,Colony,,Extermination by humans,Body length wings,Roach,19 days,,Omnivore,,,Roach,1,North America and Japan,,Cockroach,Brown,Exoskeleton,3 mph,3-6 months,0.105 g,0.5-.75 in,60-70 days,,35-40 eggs per egg case,,Insect,0.25 in,,,,North-America,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus,Asia,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Domesticated for hundreds of years!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,,,,,,,,,"Grass, Fruit, Roots",,,,,,Grass,,,,,,,,,,
Asian Giant Hornet,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia,Asia,"Bees, Honeybees, Insects, Wasps",Larvae,Colony,Unknown,Habitat loss,,Giant Sparrow Bee,,Dense woodland,Carnivore,,Diurnal,Asian Giant Hornet,1,Eastern Asia,The largest wasp in the world!,Wasp,BrownYellowRedBlackOrange,Shell,,3 - 5 months,,2.7cm - 5.5cm (1.1in - 2.2in),1 year,,,Human,,,Wide black and orange body and large mandibles,,,,,,,1 week,,,,,,,10 days,50,,,,,,,,,,,,,
Asian Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,Asia,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,It mainly eats mangos and coffee!,,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,,,,"Lions, Snakes, Leopards",Mammal,43cm - 71cm (17in - 28in),"Elongated body and snout with sharp, pointed teeth",,,,,,,,,,,,"Rodents, Snakes, Frogs",,,,,,Rodents,,,,,,,,,,
Asian Vine Snake,Animalia,Chordata,Reptilia,Squmata,Colubridae,Ahaetulla,Ahaetulla prasina,Asia,"Frogs, lizards, insects, small birds",Neonate or snakelets,,Unknown,None,Pencil-thin body,"Gunther’s whip snake, Oriental whip snake, and Boie’s whip snake",,,Carnivore,,,Asian vine snake,,,,,YellowBlueGreen,Scales,,5 - 12 years,,2.5 - 5 feet,,,,,,,Their head is spear-shaped and pointed,,,,,,,,,,Yes,Low,Frogs,,,,,,,,,,,,,,,,
Asiatic Black Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus tibetanus,Asia,"Nuts, Fruits, Insects",Cub,Solitary,"50,000",Hunting and Habitat loss,Distinctive v-shaped marking on chest,"Asian Black Bear, Himalayan Black Bear, Tibetan Black Bear, Moon Bear",6 - 8 months,Deciduous Tropical Forest,Omnivore,2,Nocturnal,Asiatic Black Bear,7,"Central and Southern Asia, Russia and Japan",Known to eat 160 different tree-borne fruits in Thailand!,Mammal,BrownBlackWhite,Fur,25 mph,15 - 25 years,90kg - 115kg (198lbs - 253lbs),,4 - 5 years,6 months,,"Tiger, Wolves, Humans",,1.2m - 1.9m (4ft - 6.25ft),,,,Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,
Asp,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera aspis,Europe,"Rodents, birds, lizards",,,,,,,,,Omnivore,,,European asp,,,,,BrownGreyOrange,,,15 to 20 years,,2 to 3 feet,,,5 to 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin Bug,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Reduvius,Reduviidae,not extinct,Insects or blood,,Solitary,unknown,none,The long piercing beak or proboscis,Ambush bug,2 weeks,"Gardens, fields, grasslands, forests, and more",Carnivore,,,Assassin bug,7000,Worldwide,,,BrownRedBlackGreenOrange,Exoskeleton,,,1-10mg,,,,10-100 eggs,"Birds, mammals, and other animals",insect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurochs,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Asia,,Calves,Herds,None,,Its impressive size,,,"Grasslands, floodplains, and light woodlands",Omnivore,,,Aurochs,,"Europe, Asia, and North Africa",Extinct ancestor of all domesticated cattle!,Cattle,,Hair,,Perhaps 20 years on average,"Up to 1,360kg (3,000lbs)",,A few years,,,Wolves and large cats,,1.2m – 1.8m (4ft – 6ft),,,,Europe,North-America,,,,,,,,,,,,,,Grass,,,,,,,,,,
Aussiedoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,Aussiedoodle,,,,,RedBlueBlackTanMulti-colored,Hair,,10-13 years,75lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aussiedor,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,North-America,,,,,,,,,,Omnivore,,,,,,,,BrownBlackGoldBrindleChocolate,Hair,,12 years,,,,,,,,,,"Affectionate, energetic, and loyal",,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bulldog,Animalia,Hemichordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Oceania,,,,,,,,,,Omnivore,,,,,,,,FawnRedBrindleOrangePeachBlack-Brown,Hair,,12 years,78 lbs,,,,,,,,,"Intelligent, fiercely loyal, and sweet-natured",,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Cattle Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Oceania,,,,,,,,,,Omnivore,5,,Australian Cattle Dog,,,High energy levels and active minds!,Herd Dog,GreyRedBlack,Hair,,13-15 years,,,,,,,,17-20 inches,,Strong minded yet loyal and loving,Should be trained from an early age and respond best to firm and fair training,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattidea,Periplaneta,Periplaneta australasiae,Africa,Decaying plant matter,Nymph,Colony,,Extermination by humans,Tan head with dark brown markings,"Waterbug, shad roach",40 days,,Omnivore,,,Roach,1,"Africa, Australia, North America",,Cockroach,Brown,Exoskeleton,3 mph,10-18 months,0.105 g,1-1.5 in,6-12 months,,12-24 eggs per egg case,,Insect,0.25 in,,,,North-America,Oceania,,,,,,,,,,,,,,,,,,,,,,,,
